entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
ENT-000583,1,env_labs_standardized.csv,"GD Air Testing, Inc.",,TNI00142,,Plano,Texas,,,env_labs,,,,,,,,
ENT-000584,1,env_labs_standardized.csv,"GEL Laboratories, LLC",,TNI00188,,Charleston,South Carolina,,,env_labs,,,,,,,,
ENT-000585,1,env_labs_standardized.csv,Geochemical Testing,,TNI02126,,Somerset,Pennsylvania,,,env_labs,,,,,,,,
ENT-000586,1,env_labs_standardized.csv,Georgia Power Environmental Laboratory,,TNI00456,,Atlanta,Georgia,,,env_labs,,,,,,,,
ENT-000587,1,env_labs_standardized.csv,GHM ENVIRONMENTAL,,TNI01677,,SAVONA,New York,,,env_labs,,,,,,,,
ENT-000588,1,env_labs_standardized.csv,Glen Canyon - Wahweap,,TNI01981,,Page,Arizona,,,env_labs,,,,,,,,
ENT-000589,1,env_labs_standardized.csv,GLENS FALLS WATER LABORATORY,,TNI01633,,GLENS FALLS,New York,,,env_labs,,,,,,,,
ENT-000590,1,env_labs_standardized.csv,GLOVERSVILLE WATER WORKS,,TNI01539,,GLOVERSVILLE,New York,,,env_labs,,,,,,,,
ENT-000591,1,env_labs_standardized.csv,GLOVERSVILLE-JOHNSTOWN JWTF,,TNI01435,,JOHNSTOWN,New York,,,env_labs,,,,,,,,
ENT-000592,1,env_labs_standardized.csv,Gopher Resource - Tampa,,TNI02659,,Tampa,Florida,,,env_labs,,,,,,,,
ENT-000593,1,env_labs_standardized.csv,Gopher Resource Corp. Laboratory,,TNI01144,,Eagan,Minnesota,,,env_labs,,,,,,,,
ENT-000594,1,env_labs_standardized.csv,GORHAM WASTEWATER TREATMENT FACILITY LABORATORY,,TNI01042,,GORHAM,New Hampshire,,,env_labs,,,,,,,,
ENT-000595,1,env_labs_standardized.csv,"GPI LABORATORIES, INC.",,TNI01733,,KENTWOOD,Michigan,,,env_labs,,,,,,,,
ENT-000596,1,env_labs_standardized.csv,"Grace Consulting, Inc.",,TNI02661,,Plainfield,Indiana,,,env_labs,,,,,,,,
ENT-000597,1,env_labs_standardized.csv,GRAHAMSVILLE LABORATORY,,TNI01582,,GRAHAMSVILLE,New York,,,env_labs,,,,,,,,
ENT-000598,1,env_labs_standardized.csv,GRAND ISLAND WASTEWATER PLANT,,TNI01468,,GRAND ISLAND,New York,,,env_labs,,,,,,,,
ENT-000599,1,env_labs_standardized.csv,"Grants Pass Water Laboratory, Inc./The Water Lab",,TNI00217,,Grants Pass,Oregon,,,env_labs,,,,,,,,
ENT-000600,1,env_labs_standardized.csv,GREAT LAKES ENVIRONMENTAL CENTER INC (MI),,TNI02205,,TRAVERSE CITY,Michigan,,,env_labs,,,,,,,,
ENT-000601,1,env_labs_standardized.csv,GREAT LAKES ENVIRONMENTAL CENTER INC (OH),,TNI02590,,COLUMBUS,Ohio,,,env_labs,,,,,,,,
ENT-000602,1,env_labs_standardized.csv,"Green Country Testing, Inc. - OKC",,TNI02639,,Oklahoma City,Oklahoma,,,env_labs,,,,,,,,
ENT-000603,1,env_labs_standardized.csv,"Green Country Testing, Inc. - Tulsa",,TNI01389,,Tulsa,Oklahoma,,,env_labs,,,,,,,,
ENT-000604,1,env_labs_standardized.csv,Green Leaf Lab,,TNI02452,,Portland,Oregon,,,env_labs,,,,,,,,
ENT-000605,1,env_labs_standardized.csv,Green Leaf Lab - Rogue River,,TNI02715,,Rogue River,Oregon,,,env_labs,,,,,,,,
ENT-000606,1,env_labs_standardized.csv,GreenWater Laboratory / CyanoLab,,TNI02510,,Palatka,Florida,,,env_labs,,,,,,,,
ENT-000607,1,env_labs_standardized.csv,Guadalupe-Blanco River Authority Regional Laboratory,,TNI00060,,Seguin,Texas,,,env_labs,,,,,,,,
ENT-000608,1,env_labs_standardized.csv,Gulf Coast Analytical Laboratories LLC dba Pace Analytical Gulf Coast,,TNI01390,,Baton Rouge,Louisiana,,,env_labs,,,,,,,,
ENT-000609,1,env_labs_standardized.csv,Gulf Coast Authority,,TNI00085,,Pasadena,Texas,,,env_labs,,,,,,,,
ENT-000610,1,env_labs_standardized.csv,Gulf Coast Testing LLC,,TNI02493,,Prairieville,Louisiana,,,env_labs,,,,,,,,
ENT-000611,1,env_labs_standardized.csv,Gulf States Environmental Laboratories Inc,,TNI01391,,Shreveport,Louisiana,,,env_labs,,,,,,,,
ENT-000612,1,env_labs_standardized.csv,H&P Mobile Geochemistry Inc,,TNI02365,,Carlsbad,California,,,env_labs,,,,,,,,
ENT-000613,1,env_labs_standardized.csv,H2O Quality Laboratory a Division of Prince William Water,,TNI01240,,Woodbridge,Virginia,,,env_labs,,,,,,,,
ENT-000614,1,env_labs_standardized.csv,HAMPTON- CLARKE,,TNI01278,,FAIRFIELD,New Jersey,,,env_labs,,,,,,,,
ENT-000615,1,env_labs_standardized.csv,HAMPTON-CLARKE INC,,TNI02253,,MOUNT LAUREL,New Jersey,,,env_labs,,,,,,,,
ENT-000616,1,env_labs_standardized.csv,Harris County Pollution Control Services Department,,TNI00045,,Pasadena,Texas,,,env_labs,,,,,,,,
ENT-000617,1,env_labs_standardized.csv,HAWTHORNE LABORATORY,,TNI01603,,HAWTHORNE,New York,,,env_labs,,,,,,,,
ENT-000618,1,env_labs_standardized.csv,HAZEN RESEARCH INC,,TNI01694,,GOLDEN,Colorado,,,env_labs,,,,,,,,
ENT-000619,1,env_labs_standardized.csv,HENNINGSON DURHAM & RICHARDSON ARCHITECTURE & ENGINEERING PC,,TNI01511,,NANUET,New York,,,env_labs,,,,,,,,
ENT-000620,1,env_labs_standardized.csv,Henrico County D.P.U. Central Environmental Laboratory,,TNI02222,,Henrico,Virginia,,,env_labs,,,,,,,,
ENT-000621,1,env_labs_standardized.csv,HF Sinclair El Dorado Refining LLC,,TNI01893,,El Dorado,Kansas,,,env_labs,,,,,,,,
ENT-000622,1,env_labs_standardized.csv,HGS Analytical Laboratory,,TNI02532,,Oxford,Alabama,,,env_labs,,,,,,,,
ENT-000623,1,env_labs_standardized.csv,"HILLMANN CONSULTING, LLC",,TNI01286,,UNION,New Jersey,,,env_labs,,,,,,,,
ENT-000624,1,env_labs_standardized.csv,Hillsborough County Environmental Laboratory,,TNI00461,,Tampa,Florida,,,env_labs,,,,,,,,
ENT-000625,1,env_labs_standardized.csv,Hillsborough County Environmental Protection Commission,,TNI00460,,Tampa,Florida,,,env_labs,,,,,,,,
ENT-000626,1,env_labs_standardized.csv,HORNELL (C) WATER TREATMENT PLANT,,TNI01429,,HORNELL,New York,,,env_labs,,,,,,,,
ENT-000627,1,env_labs_standardized.csv,Howard F. Curren Advanced Wastewater Treatment Plant Analytical Laboratory,,TNI00462,,Tampa,Florida,,,env_labs,,,,,,,,
ENT-000628,1,env_labs_standardized.csv,HRSD Central Environmental Laboratory,,TNI01239,,Virginia Beach,Virginia,,,env_labs,,,,,,,,
ENT-000629,1,env_labs_standardized.csv,Hutchinson Municipal Wastewater Laboratory,,TNI01904,,Hutchinson,Kansas,,,env_labs,,,,,,,,
ENT-000630,1,env_labs_standardized.csv,"Huther and Associates, Inc.",,TNI00039,,Denton,Texas,,,env_labs,,,,,,,,
ENT-000631,1,env_labs_standardized.csv,"HYDRO TECHNOLOGIES, LLC",,TNI01880,,NEW MILFORD,Connecticut,,,env_labs,,,,,,,,
ENT-000632,1,env_labs_standardized.csv,IEH - JL Analytical,,TNI02561,,Modesto,California,,,env_labs,,,,,,,,
ENT-000633,1,env_labs_standardized.csv,IEH SCIENTIFIC METHODS,,TNI02288,,GRANGER,Indiana,,,env_labs,,,,,,,,
ENT-000634,1,env_labs_standardized.csv,Illinois Environmental Protection Agency Laboratory,,TNI00466,,Springfield,Illinois,,,env_labs,,,,,,,,
ENT-000635,1,env_labs_standardized.csv,"Inboden Environmental Services, Inc.",,TNI01251,,Mount Jackson,Virginia,,,env_labs,,,,,,,,
ENT-000636,1,env_labs_standardized.csv,INFRAMARK,,TNI01821,,STATEN ISLAND,New York,,,env_labs,,,,,,,,
ENT-000637,1,env_labs_standardized.csv,"Instrumental Research, Inc",,TNI01082,,Fridley,Minnesota,,,env_labs,,,,,,,,
ENT-000638,1,env_labs_standardized.csv,"Integrity Testing, Inc.",,TNI02281,,Austin,Texas,,,env_labs,,,,,,,,
ENT-000639,1,env_labs_standardized.csv,International Paper Pensacola Mill Central Laboratory,,TNI00467,,Cantonment,Florida,,,env_labs,,,,,,,,
