company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"L2 DIAGNOSTICS, LLC",,1R41AI195232-01,,New Haven,CT,065300175,,nih_reporter,,Yu-Min  Chuang,,,,,,
AMIRA HEALTH INC.,,1R43AG087901-01A1,,South San Francisco,CA,94080,,nih_reporter,,Emilio  Sison,,,,,,
CAREYAYA HEALTH TECHNOLOGIES INC,,1R43AG094339-01,,Research Triangle Park,NC,27709,,nih_reporter,,Neal Kamal Shah,,,,,,
NEST GENOMICS,,1R41HG014454-01,,Albany,CA,947062020,,nih_reporter,,Lisa L Shah,,,,,,
"NOVOMEDIX, INC.",,1R43AR086064-01,,San Diego,CA,92126,,nih_reporter,,Luis  Marrero,,,,,,
"SACYL PHARMACEUTICALS, INC.",,1R43HD120055-01,,Old Greenwich,CT,068701406,,nih_reporter,,Gregory S. Kopf,,,,,,
"RIDGELINE THERAPEUTICS, INC.",,1R44AG092210-01A1,,Houston,TX,770052822,,nih_reporter,,Harshini  Neelakantan,,,,,,
"JANUSQ, LLC",,1R43AG097351-01,,Rocky River,OH,441162055,,nih_reporter,,Andrew Loring Schilb,,,,,,
"EXQOR TECHNOLOGIES, INC.",,1R44AG090240-01A1,,Boston,MA,021142818,,nih_reporter,,Gordana D. Vitaliano,,,,,,
"SINOPIA BIOSCIENCES, INC.",,1R43CA295316-01A1,,San Diego,CA,92121,,nih_reporter,,Bernard  Bloem,,,,,,
"HEALTHY DESIGN, LTD. CO.",,1R44AG097237-01,,Rutland,VT,057014010,,nih_reporter,,Marie T Pavini,,,,,,
"PERSISTENCE THERAPEUTICS, INC.",,1R44CA310319-01,,Chapel Hill,NC,275162506,,nih_reporter,,Pritha  Agarwalla,,,,,,
"RIDGELINE THERAPEUTICS, INC.",,5R44AG092210-02,,Houston,TX,770052822,,nih_reporter,,Harshini  Neelakantan,,,,,,
SEEINME INC,,1R43AG090142-01A1,,Lees Summit,MO,640824085,,nih_reporter,,Risa  Stein,,,,,,
"CYTOAGENTS, INC.",,1R44CA295189-01A1,,Pittsburgh,PA,152032116,,nih_reporter,,Arthur P Bertolino,,,,,,
ENRECTEC LLC,,1R41AG094359-01,,Sioux Falls,SD,571064580,,nih_reporter,,Samuel Newton Sathyanesan,,,,,,
"EMPOWERX, INC.",,1R44MH142152-01,,Del Mar,CA,92014,,nih_reporter,,Jenny Leigh Newlon,,,,,,
"MICROBIOTIX, INC",,1R41AI195240-01,,Worcester,MA,016054307,,nih_reporter,,Timothy J. Opperman,,,,,,
"JERICHO SCIENCES, LLC",,1R41AI195177-01,,Springfield,VA,220392410,,nih_reporter,,Haitao  Guo,,,,,,
"RAREFIED BIOSCIENCES, INC.",,1R43AI189037-01A1,,Santa Monica,CA,904033209,,nih_reporter,,Andrew  Hou,,,,,,
PANLUMINATE INC.,,1R43AG092073-01,,New Haven,CT,065115614,,nih_reporter,,Ons  M'Saad,,,,,,
"RENEUROGEN, LLC",,1R44HL178153-01,,Elm Grove,WI,531221235,,nih_reporter,,Stephen  Naylor,,,,,,
"NATSAR PHARMACEUTICALS, INC.",,1R44CA295155-01A1,,Ellicott City,MD,210436762,,nih_reporter,,Dominic A Ventura,,,,,,
TURING MEDICAL TECHNOLOGIES INC,,1R44AG097349-01,,Saint Louis,MO,631081289,,nih_reporter,,Kevin  King,,,,,,
"NUVOX PHARMA, LLC",,1R44CA298498-01A1,,Tucson,AZ,857196803,,nih_reporter,,Katherine  Havranek,,,,,,
"L2 DIAGNOSTICS, LLC",,1R43AI188960-01,,New Haven,CT,065300175,,nih_reporter,,Alan Gordon Sutherland,,,,,,
"REELIN THERAPEUTICS, INC.",,1R41AG094356-01A1,,San Diego,CA,921305611,,nih_reporter,,Laurent  Calvier,,,,,,
"PSYCHOGENICS, INC.",,1R44AG090144-01A1,,Paramus,NJ,07652,,nih_reporter,,Jodi Ellen Gresack,,,,,,
"BELLAGE, INC.",,1R44AG097241-01,,Sunnyside,NY,111041408,,nih_reporter,,Diana  Yin,,,,,,
"TRANSLUCENCE BIOSYSTEMS, INC.",,1R44AG090130-01A1,,Irvine,CA,92617,,nih_reporter,,Damian G. Wheeler,,,,,,
"BRAINCHECK, INC.",,1R43AG094410-01A1,,Austin,TX,78702,,nih_reporter,,Bin  Huang,,,,,,
"ADVANTAGE THERAPEUTICS, INC",,5R44AG091827-02,,Miami,FL,331372915,,nih_reporter,,Carmela R Abraham,,,,,,
"EPICYPHER, INC.",,5R44AG091990-02,,Research Triangle Park,NC,277090003,,nih_reporter,,Sabrina Robin Hunt,,,,,,
"ALPHAMEMORY, LLC",,1R41AG092199-01,,Latham,NY,121105522,,nih_reporter,,Chunyu  Wang,,,,,,
"STORII, INC.",,1R44AG097382-01,,San Mateo,CA,944021506,,nih_reporter,,Cameron  Graham,,,,,,
