lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
TRIRX PHARMACEUTICAL SERVICES,Contract Manufacturing,Ct - Norwalk,,,,,,https://www.trirx.com/,BioPharmGuy
APIJECT,Contract Manufacturing,Ct - Stamford,,,,,,https://apiject.com/,BioPharmGuy
ENGINEERED BIOPHARMACEUTICALS,Contract Manufacturing,Ct - Tolland,,,,,,http://www.engbiopharm.com/,BioPharmGuy
CHARLES RIVER LABORATORIES,Contract Manufacturing,Ct - Willimantic,,,,,,https://www.criver.com/,BioPharmGuy
ONCOMED MANUFACTURING,Contract Manufacturing,Czech Republic - Brno,,,,,,https://www.oncomed.cz/en/,BioPharmGuy
SCTBIO,Contract Manufacturing,Czech Republic - Prague,,,,,,https://www.sctbio.com/,BioPharmGuy
ACROBIOSYSTEMS,Contract Manufacturing,De - Newark,,,,,,https://acrobiosystems.com.cn/,BioPharmGuy
CHARLES RIVER LABORATORIES,Contract Manufacturing,De - Newark,,,,,,https://www.criver.com/,BioPharmGuy
WILMINGTON PHARMATECH,Contract Manufacturing,De - Newark,,,,,,https://wilmingtonpharmatech.com/,BioPharmGuy
AXPLORA,Contract Manufacturing,De - Wilmington,,,,,,https://www.axplora.com/,BioPharmGuy
BIOMATIK,Contract Manufacturing,De - Wilmington,,,,,,https://www.biomatik.com,BioPharmGuy
BORA CDMO,Contract Manufacturing,De - Wilmington,,,,,,https://boracdmo.com/en/,BioPharmGuy
CONFLUENT MEDICAL TECHNOLOGIES,Contract Manufacturing,De - Windham,,,,,,https://confluentmedical.com/,BioPharmGuy
AGC BIOLOGICS,Contract Manufacturing,Denmark - Copenhagen,,,,,,https://www.agcbio.com/,BioPharmGuy
FUJIFILM DIOSYNTH,Contract Manufacturing,Denmark - Hillerød,,,,,,https://fujifilmbiotechnologies.fujifilm.com/,BioPharmGuy
BIOBRIDGE SOLUTIONS,Contract Manufacturing,Denmark - Soeborg,,,,,,https://www.biobridgesolutions.com/,BioPharmGuy
LONZA,Contract Manufacturing,Denmark - Vallensbaek Strand,,,,,,https://www.lonza.com/,BioPharmGuy
CAMBREX,Contract Manufacturing,Estonia - Tallinn,,,,,,https://www.cambrex.com/,BioPharmGuy
CELLIN TECHNOLOGIES,Contract Manufacturing,Estonia - Tallinn,,,,,,https://www.cellintechnologies.com/,BioPharmGuy
ICOSAGEN CELL FACTORY,Contract Manufacturing,Estonia - Tartu,,,,,,https://www.icosagen.com/,BioPharmGuy
TBD PHARMATECH,Contract Manufacturing,Estonia - Tartu,,,,,,https://tbdpharmatech.com/,BioPharmGuy
FERMION OY,Contract Manufacturing,Finland - Espoo,,,,,,https://www.fermion.fi/,BioPharmGuy
