ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0001213900-25-019384,SciSparc Ltd.,0001611746,"20 RAUL WALLENBERG STREET, TOWER A",,TEL AVIV,L3,6971916,4200000,4200000,03-MAR-2025,2025Q1
0001879785-25-000012,Chimeron Bio Corp,0001837360,"601 WALNUT STREET, SUITE 715",,PHILADELPHIA,PA,19106,13736689,Indefinite,03-MAR-2025,2025Q1
0002057459-25-000001,"GNT Pharmaceuticals, Inc.",0002057459,3711 QUAIL HOLLOW COURT,,LOUISVILLE,KY,40241,0,150000,03-MAR-2025,2025Q1
0000950123-25-002925,"Aligos Therapeutics, Inc.",0001799448,"One Corporate Dr., 2nd Floor",,South San Francisco,CA,94080,105003206,105003206,28-FEB-2025,2025Q1
0001861123-25-000001,"Eikon Therapeutics, Inc.",0001861123,3929 POINT EDEN WAY,,HAYWARD,CA,94545,350700037,399999934,28-FEB-2025,2025Q1
0002058374-25-000001,KKR FlowMod Aggregator LLC,0002058374,"650 LIVE OAK AVENUE, SUITE 200",,MENLO PARK,CA,94025,15650000,26450000,27-FEB-2025,2025Q1
0001786236-25-000007,"20/20 GeneSystems, Inc.",0001139685,"15810 Gaither Road, Suite 235",,Gaithersburg,MD,20877,70000,3000000,26-FEB-2025,2025Q1
0002034038-25-000001,MASLOW HEALTH INC.,0002034038,141 SOUTH RD,SUITE 104E,CHAPEL HILL,NC,27514,20000,700000,26-FEB-2025,2025Q1
0001756702-25-000001,"Castle Creek Biosciences, Inc.",0001756702,405 Eagleview Boulevard,,Exton,PA,19341,75000000,75000000,25-FEB-2025,2025Q1
0001140361-25-005827,"Grace Therapeutics, Inc.",0001444192,103 Carnegie Center,Suite 300,Princeton,NJ,08540,14999985,30000203,25-FEB-2025,2025Q1
0001880583-25-000001,Synlico Inc.,0001880583,329 Oyster Point Blvd Fl 3,,South San Francisco,CA,94080,3000000,3000000,25-FEB-2025,2025Q1
0002057800-25-000001,"Newleos Therapeutics, Inc.",0002057800,"C/O NEWLEOS THERAPEUTICS, INC.","800 BOYLSTON STREET, SUITE 1715",BOSTON,MA,02199,93449993,93449993,24-FEB-2025,2025Q1
0001493152-25-007952,Oncocyte Corp,0001642380,15 CUSHING,,IRVINE,CA,92618,21743597,21743597,24-FEB-2025,2025Q1
0002057402-25-000001,"Quarry Thera, LLC",0002057402,286 LIVINGSTON STREET,,NEW HAVEN,CT,06511,5000000,5000000,21-FEB-2025,2025Q1
0001937542-25-000001,"Areteia Therapeutics, Inc.",0001937542,101 GLEN LENNOX DR.,SUITE 300,CHAPEL HILL,NC,27517,360000020,445000000,21-FEB-2025,2025Q1
0001683168-25-001151,"Flavocure Biotech, Inc.",0001960342,701 E PRATT ST,STE 2033,BALTIMORE,MD,21202,215000,2000000,21-FEB-2025,2025Q1
0000905729-25-000043,"Patensee, Inc.",0002057317,407 EAST FORT STREET,SUITE 205,DETROIT,MI,48226,1600000,2000000,20-FEB-2025,2025Q1
0000929638-25-000827,Kytopen Corp.,0001777277,750 MAIN STREET,,CAMBRIDGE,MA,02139-4018,7082651,15000107,20-FEB-2025,2025Q1
0002056818-25-000001,Pairidex Inc.,0002056818,4340 DUNCAN AVE.,SUITE 213,ST. LOUIS,MO,63110,1090000,1090000,20-FEB-2025,2025Q1
