Establishment Name,"City, State/Zip",FEI,Establishment Status
Oklahoma Blood Institute Oklahoma Blood Institute Coffee Memorial Blood Center,"Amarillo, Texas / 79124",1671267.0,ACTIVE
"Oncologics, Inc.","Lafayette, Louisiana / 70501",1000306911.0,INACTIVE
"OneBlood, Inc.","Tallahassee, Florida / 32308",1072542.0,ACTIVE
"OneBlood, Inc.","Pensacola, Florida / 32514",1070202.0,ACTIVE
"OneBlood, Inc.","Hialeah, Florida / 33016",1072594.0,ACTIVE
"OneBlood, Inc.","Lake Park, Florida / 33403",1070214.0,ACTIVE
"OrganaBio,LLC","Miami, Florida / 33167",3016082743.0,ACTIVE
Paul I. Hoxworth Blood Ctr U of Cinncinnati,"Cincinnati, Ohio / 45220",3001479192.0,INACTIVE
"Physician's Plasma Alliance Inc. (PPA) dba Biological Specialty Company (BSC) dba BioIVT, LLC","Johnson City, Tennessee / 37615",3007934251.0,ACTIVE
Provenience Biosciences,"Menlo Park, California / 94025",3010666951.0,INACTIVE
"Response Oncology, Inc. d/b/a IMPACT Center of Savannah","Savannah, Georgia / 31405",1000110854.0,INACTIVE
"Response Oncology, Inc. d/b/a IMPACT Center of St. Louis","Chesterfield, Missouri / 63017",1000119274.0,INACTIVE
SFP Research,"Liberty, North Carolina / 27298",1000110802.0,INACTIVE
Sacramento Medical Foundation,"Sacramento, California / 95816",3000718304.0,INACTIVE
Sacred Heart Hospital Donor Center,"Yankton, South Dakota / 57078",1770176.0,INACTIVE
San Diego Blood Bank,"Orange, California / 92868",3000719954.0,INACTIVE
Sandstone Area Hospital Donor Center,"Sandstone, Minnesota / 55072",1000049104.0,INACTIVE
"Source Bio, Incorporated","Temecula, California / 92590",3006768036.0,ACTIVE
Southwest Oklahoma Blood Institute,"Lawton, Oklahoma / 73501",,INACTIVE
St. Bernard's Hospital Donor Center,"Milbank, South Dakota / 57252",3001504453.0,INACTIVE
St. Gabriel's Hospital Donor Center,"Little Falls, Minnesota / 56345",2177709.0,INACTIVE
St. John's Hospital Donor Center,"Browerville, Minnesota / 56438",3001509706.0,INACTIVE
St. Joseph's Hospital Donor Center,"Brainerd, Minnesota / 56401",2177711.0,INACTIVE
St. Luke's Hospital Donor Center,"Duluth, Minnesota / 55805",,INACTIVE
St. Mary's Hospital Donor Center,"Pierre, South Dakota / 57501",1770174.0,INACTIVE
"Suncoast Communities Blood Bank, Inc.","Bradenton, Florida / 34211",1051993.0,ACTIVE
Tennessee Blood Services Corp. Tennessee Blood Services Corp. dba Biological Specialty Company (BSC) dba BioIVT,"Memphis, Tennessee / 38105",1072765.0,ACTIVE
The American National Red Cross The American National Red Cross,"Birmingham, Alabama / 35242",1073001.0,ACTIVE
The American National Red Cross The American National Red Cross,"Mobile, Alabama / 36607",1073005.0,ACTIVE
The American National Red Cross The American National Red Cross,"Great Falls, Montana / 59405-5296",1772995.0,ACTIVE
The American National Red Cross The American National Red Cross,"Las Vegas, Nevada / 89119",3008366020.0,ACTIVE
The Blood Center,"Hammond, Louisiana / 70403",2374536.0,ACTIVE
"The Blood Connection, Incorporated","Morrisville, North Carolina / 27560",3014286287.0,ACTIVE
Tri-Counties Blood Bank,"Salinas, California / 93906",1000161290.0,INACTIVE
Tulane University Hospital,"Slidell, Louisiana / 70458",,INACTIVE
United District Hospital Donor Center,"Staples, Minnesota / 56479",2177734.0,INACTIVE
United Hospital Donor Center-Dak-Minn Blood Bank,"Grand Forks, North Dakota / 58201",1770177.0,INACTIVE
"Upstate New York Transplant Services, Inc.","Buffalo, New York / 14203",3006261650.0,INACTIVE
"Upstate New York Transplant Services, Inc.","Williamsville, New York / 14221",3000718051.0,ACTIVE
Vascular Solutions LLC ( a subsidiary of Teleflex),"Maple Grove, Minnesota / 55369",3002827704.0,ACTIVE
"Versiti Blood Health, Inc. Versiti Blood Health, Inc","Columbus, Ohio / 43202",3015387520.0,ACTIVE
Vitalant,"Brisbane, California / 94005-1210",3016436029.0,ACTIVE
Vitalant,"Kalispell, Montana / 59901",3014346633.0,INACTIVE
Wellstar Community Blood Bank,"Marietta, Georgia / 30062",3006257321.0,INACTIVE
Willis-Knighton South,"Shreveport, Louisiana / 71118",3009465978.0,ACTIVE
