entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000094,biopharmguy_cros_standardized.csv,ac995235594ce1b7,CAMBREX,,Longmont,CO
ENT-000095,biopharmguy_cmos_standardized.csv,6ec7dbd93ee57e3f,AKTIVAX,,Louisville,CO
ENT-000096,biopharmguy_cmos_standardized.csv,840711fce8e1921d,KBI BIOPHARMA,,Louisville,CO
ENT-000096,biopharmguy_cros_standardized.csv,840711fce8e1921d,KBI BIOPHARMA,,Louisville,CO
ENT-000096,biopharmguy_cros_standardized.csv,840711fce8e1921d,KBI BIOPHARMA,,Louisville,CO
ENT-000097,biopharmguy_cmos_standardized.csv,2090f29e42f8d812,CIRTEC MEDICAL,,Enfield,CT
ENT-000097,biopharmguy_cros_standardized.csv,2090f29e42f8d812,CIRTEC MEDICAL,,Enfield,CT
ENT-000098,biopharmguy_cmos_standardized.csv,cbef16f699c0fafb,ACME MONACO,,New Britain,CT
ENT-000099,biopharmguy_cmos_standardized.csv,40fa2639323aa4d9,TRIRX PHARMACEUTICAL SERVICES,,Norwalk,CT
ENT-000099,biopharmguy_cros_standardized.csv,40fa2639323aa4d9,TRIRX PHARMACEUTICAL SERVICES,,Norwalk,CT
ENT-000100,biopharmguy_cmos_standardized.csv,aebd7b05a6b5bc49,BOEHRINGER INGELHEIM,,Ridgefield,CT
ENT-000100,biopharmguy_therapeutics_standardized.csv,aebd7b05a6b5bc49,BOEHRINGER INGELHEIM,,Ridgefield,CT
ENT-000100,biopharmguy_therapeutics_standardized.csv,aebd7b05a6b5bc49,BOEHRINGER INGELHEIM,,Ridgefield,CT
ENT-000100,biopharmguy_therapeutics_standardized.csv,aebd7b05a6b5bc49,BOEHRINGER INGELHEIM,,Ridgefield,CT
ENT-000101,biopharmguy_cmos_standardized.csv,33abd2d05371cd82,APIJECT,,Stamford,CT
ENT-000102,biopharmguy_cmos_standardized.csv,7cd8f6e8a7eb9911,ENGINEERED BIOPHARMACEUTICALS,,Tolland,CT
ENT-000102,biopharmguy_cros_standardized.csv,7cd8f6e8a7eb9911,ENGINEERED BIOPHARMACEUTICALS,,Tolland,CT
ENT-000103,biopharmguy_cmos_standardized.csv,2a20e26aacf8e3b8,CHARLES RIVER LABORATORIES,,Willimantic,CT
ENT-000103,biopharmguy_cros_standardized.csv,2a20e26aacf8e3b8,CHARLES RIVER LABORATORIES,,Willimantic,CT
ENT-000104,biopharmguy_cmos_standardized.csv,e5cb7e84930f4e39,ACROBIOSYSTEMS,,Newark,DE
ENT-000104,biopharmguy_cros_standardized.csv,e5cb7e84930f4e39,ACROBIOSYSTEMS,,Newark,DE
ENT-000104,biopharmguy_cros_standardized.csv,e5cb7e84930f4e39,ACROBIOSYSTEMS,,Newark,DE
ENT-000104,biopharmguy_therapeutics_standardized.csv,e5cb7e84930f4e39,ACROBIOSYSTEMS,,Newark,DE
ENT-000105,biopharmguy_cmos_standardized.csv,426cff2dc69a0c19,CHARLES RIVER LABORATORIES,,Newark,DE
ENT-000105,biopharmguy_cros_standardized.csv,426cff2dc69a0c19,CHARLES RIVER LABORATORIES,,Newark,DE
ENT-000106,biopharmguy_cmos_standardized.csv,df5d5a036bc19094,WILMINGTON PHARMATECH,,Newark,DE
ENT-000106,biopharmguy_cros_standardized.csv,df5d5a036bc19094,WILMINGTON PHARMATECH,,Newark,DE
ENT-000107,biopharmguy_cmos_standardized.csv,830fd5678fa0d1cb,AXPLORA,,Wilmington,DE
ENT-000107,biopharmguy_therapeutics_standardized.csv,830fd5678fa0d1cb,AXPLORA,,Wilmington,DE
ENT-000108,biopharmguy_cmos_standardized.csv,9dd34d85f91aaff9,BIOMATIK,,Wilmington,DE
ENT-000108,biopharmguy_cros_standardized.csv,9dd34d85f91aaff9,BIOMATIK,,Wilmington,DE
ENT-000108,biopharmguy_cros_standardized.csv,9dd34d85f91aaff9,BIOMATIK,,Wilmington,DE
ENT-000108,biopharmguy_therapeutics_standardized.csv,9dd34d85f91aaff9,BIOMATIK,,Wilmington,DE
ENT-000109,biopharmguy_cmos_standardized.csv,d298d49bec558de2,BORA CDMO,,Wilmington,DE
ENT-000110,biopharmguy_cmos_standardized.csv,31836b478e6b80af,CONFLUENT MEDICAL TECHNOLOGIES,,Windham,DE
ENT-000111,biopharmguy_cmos_standardized.csv,1b2bfe6a7691f408,ALCHEM LABORATORIES,,Alachua,FL
ENT-000111,biopharmguy_cros_standardized.csv,1b2bfe6a7691f408,ALCHEM LABORATORIES,,Alachua,FL
ENT-000111,biopharmguy_cros_standardized.csv,1b2bfe6a7691f408,ALCHEM LABORATORIES,,Alachua,FL
ENT-000111,fda_drug_registration_standardized.csv,3002303056,ALCHEM LABORATORIES CORPORATION,13305 RACHAEL BLVD,ALACHUA,FL
ENT-000111,fda_drug_registration_standardized.csv,3014650087,Alchem Laboratories Corporation,14120 NW 126 Ter,Alachua,FL
ENT-000112,biopharmguy_cmos_standardized.csv,b47c58df578c1574,ASCEND ADVANCED THERAPIES,,Alachua,FL
ENT-000113,biopharmguy_cmos_standardized.csv,0cc4b1b486af1b77,EVERGEN,,Alachua,FL
ENT-000114,biopharmguy_cmos_standardized.csv,b8883f2405c58bcf,LGM PHARMA,,Boca Raton,FL
ENT-000114,biopharmguy_cros_standardized.csv,b8883f2405c58bcf,LGM PHARMA,,Boca Raton,FL
