company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
FUJIFILM BIOTECHNOLOGIES,,0cf402a4a2b297cd,,Thousand Oaks,CA,,US,biopharmguy_cmos,https://fujifilmbiotechnologies.fujifilm.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BACHEM,,fde6250de8ccd020,,Torrance,CA,,US,biopharmguy_cmos,https://www.bachem.com/,,,,,,,,biopharmguy_cmos_standardized.csv
POLYPEPTIDE GROUP,,4b1b7c92e4e7c417,,Torrance,CA,,US,biopharmguy_cmos,https://www.polypeptide.com/,,,,,,,,biopharmguy_cmos_standardized.csv
VIANT MEDICAL,,9334b3a934c8c64c,,Upland,CA,,US,biopharmguy_cmos,https://viantmedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CORDENPHARMA,,2c86f3f3a3745e20,,Boulder,CO,,US,biopharmguy_cmos,https://cordenpharma.com/,,,,,,,,biopharmguy_cmos_standardized.csv
KBI BIOPHARMA,,aff90d893b96e9e1,,Boulder,CO,,US,biopharmguy_cmos,https://www.kbibiopharma.com,,,,,,,,biopharmguy_cmos_standardized.csv
KROMATID,,733fc332b66a6255,,Boulder,CO,,US,biopharmguy_cmos,https://kromatid.com/,,,,,,,,biopharmguy_cmos_standardized.csv
MEDDUX,,2ff171ce627e6b74,,Boulder,CO,,US,biopharmguy_cmos,https://meddux.com/,,,,,,,,biopharmguy_cmos_standardized.csv
AGILENT,,c03025ee3195d0bb,,Longmont,CO,,US,biopharmguy_cmos,https://www.agilent.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CAMBREX,,ac995235594ce1b7,,Longmont,CO,,US,biopharmguy_cmos,https://www.cambrex.com/,,,,,,,,biopharmguy_cmos_standardized.csv
AKTIVAX,,6ec7dbd93ee57e3f,,Louisville,CO,,US,biopharmguy_cmos,https://www.aktivmedicalsystems.com/,,,,,,,,biopharmguy_cmos_standardized.csv
