entity_id,source_file,source_record_id,company_name
ENT-000187,01a_fda_biologics_hctp_standardized.csv,3020607468,Carolinas Fertility Institute-Charlotte
ENT-000188,01a_fda_biologics_hctp_standardized.csv,3002603147,Carter BloodCare
ENT-000189,01a_fda_biologics_hctp_standardized.csv,3021507459,"Cascade Cryobank, LLC"
ENT-000190,01a_fda_biologics_hctp_standardized.csv,3008769481,"Celebration Stem Cell Centre, LLC"
ENT-000191,01a_fda_biologics_hctp_standardized.csv,3014679694,Cell Therapies Manufacturing Facility Hackensack University Medical Center
ENT-000192,01a_fda_biologics_hctp_standardized.csv,3009234552,CellRight Technologies DBA Tissue Reginex Group
ENT-000193,01a_fda_biologics_hctp_standardized.csv,3019202665,"CellTrans, Inc."
ENT-000193,04a_biopharmguy_therapeutics_standardized.csv,9de92b21a3b1cf1f,CELLTRANS
ENT-000193,06a_biopharmguy_cros_standardized.csv,9de92b21a3b1cf1f,CELLTRANS
ENT-000193,0a_drls_reg_standardized.csv,3019202665,CellTrans Inc.
ENT-000194,01a_fda_biologics_hctp_standardized.csv,3038417759,Cellestiq
ENT-000195,01a_fda_biologics_hctp_standardized.csv,3003926638,Cellular Therapy Facility
ENT-000196,01a_fda_biologics_hctp_standardized.csv,3015456113,Cellum Biomedical Inc.
ENT-000197,01a_fda_biologics_hctp_standardized.csv,3018154197,"Celquest, LLC"
ENT-000198,01a_fda_biologics_hctp_standardized.csv,3016661001,"Celularity, Inc."
ENT-000198,07a_form_d_standardized.csv,0001493152-25-020624,Celularity Inc
ENT-000199,01a_fda_biologics_hctp_standardized.csv,3003945126,Center for Advanced Reproductive Medicine and Fertility
ENT-000200,01a_fda_biologics_hctp_standardized.csv,3003926882,Center for Assisted Reproduction (CARE Fertility)
ENT-000201,01a_fda_biologics_hctp_standardized.csv,3003407427,Center for Cell & Gene Therapy
ENT-000202,01a_fda_biologics_hctp_standardized.csv,3006426854,Center for Cellular Therapy
ENT-000203,01a_fda_biologics_hctp_standardized.csv,3004081056,Center for Fertility and Reproductive Endocrinology - UPP
ENT-000204,01a_fda_biologics_hctp_standardized.csv,3000719528,Center for Organ Recovery & Education (CORE)
ENT-000205,01a_fda_biologics_hctp_standardized.csv,3003973984,"Center for Reproductive Biology of Indiana, LLC."
ENT-000206,01a_fda_biologics_hctp_standardized.csv,3003926603,Center for Reproductive Medicine
ENT-000207,01a_fda_biologics_hctp_standardized.csv,3008945619,Center for Reproductive Medicine & Robotic Surgery LLC
ENT-000208,01a_fda_biologics_hctp_standardized.csv,3004102529,Center for Reproductive Medicine West Virginia University
ENT-000209,01a_fda_biologics_hctp_standardized.csv,3003936968,Center for Reproductive Medicine of New Mexico
ENT-000210,01a_fda_biologics_hctp_standardized.csv,3005950704,"Center for Reproductive Medicine, P.A."
ENT-000211,01a_fda_biologics_hctp_standardized.csv,3003926897,Center of Reproductive Medicine
ENT-000212,01a_fda_biologics_hctp_standardized.csv,3000718791,"Central Ohio Lions Eye Bank, Inc."
ENT-000213,01a_fda_biologics_hctp_standardized.csv,,Ceres Biosolutions
ENT-000214,01a_fda_biologics_hctp_standardized.csv,3043804048,Ceres Physicians Colorado
ENT-000215,01a_fda_biologics_hctp_standardized.csv,3026792122,Charity Helpers Foundation
ENT-000216,01a_fda_biologics_hctp_standardized.csv,3004082007,"Charles E Miller, MD SC"
ENT-000217,01a_fda_biologics_hctp_standardized.csv,3004200746,"Charles River Laboratories Cell Solutions, Inc."
ENT-000218,01a_fda_biologics_hctp_standardized.csv,3011800115,Chelsea Fertility NYC
ENT-000219,01a_fda_biologics_hctp_standardized.csv,3010385869,"Children's GMP, LLC"
ENT-000220,01a_fda_biologics_hctp_standardized.csv,1771443,Children's Hospital Colorado Blood Bank B120
ENT-000221,01a_fda_biologics_hctp_standardized.csv,2016501,Children's Hospital Los Angeles
ENT-000222,01a_fda_biologics_hctp_standardized.csv,2077856,Children's Hospital of Orange County
ENT-000223,01a_fda_biologics_hctp_standardized.csv,2571772,Children's Hospital of Philadelphia Cell Based Therapy Lab
ENT-000224,01a_fda_biologics_hctp_standardized.csv,3004467224,Children's National Hospital
ENT-000225,01a_fda_biologics_hctp_standardized.csv,3012688591,Cincinnati Childrens Hospital Medical Center TPIAT
ENT-000226,01a_fda_biologics_hctp_standardized.csv,3000718786,"Cincinnati Eye Bank for Sight Restoration, Inc."
ENT-000227,01a_fda_biologics_hctp_standardized.csv,3021919964,City of Hope AZ Heme Malignancy and Cellular Therapy Institute
ENT-000228,01a_fda_biologics_hctp_standardized.csv,2070105,City of Hope National Medical Center
ENT-000229,01a_fda_biologics_hctp_standardized.csv,3030713659,Cleveland Cell Therapy Incubator
ENT-000230,01a_fda_biologics_hctp_standardized.csv,3003616081,Cleveland Clinic Fertility Center
ENT-000231,01a_fda_biologics_hctp_standardized.csv,3000719146,ClinImmune Labs-Univ Colorado Cord Blood Bank and Stem Cell Laboratory
ENT-000232,01a_fda_biologics_hctp_standardized.csv,3008286831,"Clinical Microbiology, University of Chicago Medical Center"
ENT-000233,01a_fda_biologics_hctp_standardized.csv,3009660508,"Coastal Fertility Specialists, LLC"
ENT-000234,01a_fda_biologics_hctp_standardized.csv,3017851527,Coastal Fertility Specialists-Lexington
ENT-000235,01a_fda_biologics_hctp_standardized.csv,3017851539,Coastal Fertility Specialists-Myrtle Beach
ENT-000236,01a_fda_biologics_hctp_standardized.csv,3030286011,"Collab Fertility, Inc."
ENT-000237,01a_fda_biologics_hctp_standardized.csv,3004432442,Colorado Center for Reproductive Medicine-Atlanta
ENT-000238,01a_fda_biologics_hctp_standardized.csv,3003972435,Columbia University Fertility Center
ENT-000239,01a_fda_biologics_hctp_standardized.csv,3005144073,"Columbus Center for Reproductive Endocrinology & Infertility, LLC"
ENT-000240,01a_fda_biologics_hctp_standardized.csv,3032593955,Community Blood Center dba Solvita
ENT-000241,01a_fda_biologics_hctp_standardized.csv,3008808182,Community Blood Center dba Solvita
ENT-000242,01a_fda_biologics_hctp_standardized.csv,3014721365,Conceive Fertility Center
ENT-000243,01a_fda_biologics_hctp_standardized.csv,3044734245,Conceive NJ
ENT-000244,01a_fda_biologics_hctp_standardized.csv,3016700592,Conceptions Fertility Center
ENT-000245,01a_fda_biologics_hctp_standardized.csv,3010650691,Conceptions Florida
ENT-000246,01a_fda_biologics_hctp_standardized.csv,1000488264,Conceptions Reproductive Associates
